istilah,pengertian,undang_undang,uu,url,status
Dana Abadi Umat,Dana Abadi Umat yang selanjutnya disingkat DAU adalah sejumlah dana yang sebelum berlakunya Undang-Undang ini diperoleh dari hasil pengembangan DAU dan/atau sisa biaya operasional penyelenggaraan ibadah haji serta sumber lain yang halal dan tidak mengikat sesuai dengan ketentuan peraturan perundang-undangan.,Undang-Undang Nomor 34 Tahun 2014,Pengelolaan Keuangan Haji,https://paralegal.id/pengertian/dana-abadi-umat/,OK
Dana Alokasi Khusus,"Dana Alokasi Khusus yang selanjutnya disingkat DAK adalah bagian dari TKD yang dialokasikan dengan tujuan untuk mendanai program, kegiatan, dan/atau kebijakan tertentu yang menjadi prioritas nasional dan membantu operasionalisasi layanan publik, yang penggunaannya telah ditentukan oleh Pemerintah.",Undang-Undang Nomor 1 Tahun 2022,Hubungan Keuangan antara Pemerintah Pusat dan Pemerintahan Daerah,https://paralegal.id/pengertian/dana-alokasi-khusus/,OK
Dana Alokasi Umum,Dana Alokasi Umum yang selanjutnya disingkat DAU adalah bagian dari TKD yang dialokasikan dengan tujuan mengurangi ketimpangan kemampuan keuangan dan layanan publik antar-Daerah.,Undang-Undang Nomor 1 Tahun 2022,Hubungan Keuangan antara Pemerintah Pusat dan Pemerintahan Daerah,https://paralegal.id/pengertian/dana-alokasi-umum/,OK
Dana Amanah/Bantuan Konservasi,Dana Amanah/Bantuan Konservasi adalah dana yang berasal dari sumber hibah dan donasi untuk kepentingan konservasi lingkungan hidup.,Peraturan Pemerintah Nomor 46 Tahun 2017,Instrumen Ekonomi Lingkungan Hidup,https://paralegal.id/pengertian/dana-amanah-bantuan-konservasi/,OK
Dana Asuransi,Dana Asuransi adalah kumpulan dana yang berasal dari premi yang dibentuk untuk memenuhi kewajiban yang timbul dari polis yang diterbitkan atau dari klaim asuransi.,Undang-Undang Nomor 40 Tahun 2014,Perasuransian,https://paralegal.id/pengertian/dana-asuransi/,OK
Dana Bagi Hasil,"Dana Bagi Hasil yang selanjutnya disingkat DBH adalah bagian dari TKD yang dialokasikan berdasarkan persentase atas pendapatan tertentu dalam APBN dan kinerja tertentu, yang dibagikan kepada Daerah penghasil dengan tujuan untuk mengurangi ketimpangan fiskal antara Pemerintah dan Daerah, serta kepada Daerah lain nonpenghasil dalam rangka menanggulangi eksternalitas negatif dan/atau meningkatkan pemerataan dalam satu wilayah.",Undang-Undang Nomor 1 Tahun 2022,Hubungan Keuangan antara Pemerintah Pusat dan Pemerintahan Daerah,https://paralegal.id/pengertian/dana-bagi-hasil/,OK
Dana Bagi Hasil Dana Reboisasi,Dana Bagi Hasil Dana Reboisasi adalah bagian daerah yang berasal dari penerimaan sumber daya alam Kehutanan.,Peraturan Pemerintah Nomor 23 Tahun 2021,Penyelenggaraan Kehutanan,https://paralegal.id/pengertian/dana-bagi-hasil-dana-reboisasi/,OK
Dana Darurat,"Dana Darurat adalah dana yang berasal dari APBN yang dialokasikan kepada Daerah yang mengalami bencana nasional, peristiwa luar biasa, dan/atau krisis solvabilitas",Undang-Undang Nomor 33 Tahun 2004,Perimbangan Keuangan Antara Pemerintah Pusat dan Pemerintahan Daerah,https://paralegal.id/pengertian/dana-darurat/,OK
Ibadah Haji,"Ibadah Haji adalah rukun Islam kelima bagi orang Islam yang mampu untuk melaksanakan serangkaian ibadah tertentu di Baitullah, masyair, serta tempat, waktu, dan syarat tertentu.",Undang-Undang Nomor 8 Tahun 2019,Penyelenggaraan Ibadah Haji dan Umrah,https://paralegal.id/pengertian/ibadah-haji/,OK
Desentralisasi,Desentralisasi adalah penyerahan Urusan Pemerintahan oleh Pemerintah Pusat kepada daerah otonom berdasarkan Asas Otonomi.,Undang-Undang Nomor 23 Tahun 2014,Pemerintahan Daerah,https://paralegal.id/pengertian/desentralisasi/,OK
